Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
49,16691239,"Tom Aindow","2026-08-12 09:28:37",0.915,9,taindow
50,16670265,"Shun Kuraishi","2026-08-12 12:02:26",0.914,13,shunkuraishi
51,16682570,Pirhosseinlou,"2026-08-11 12:54:48",0.914,6,pirhosseinlou
52,16672052,"James Y","2026-08-08 22:53:30",0.914,3,redoctopusk
53,16699036,"Arnav Mishra #2","2026-08-12 06:25:27",0.914,9,arnavmishra02
54,16677780,"Apoorv Saraogee","2026-08-12 00:53:32",0.914,18,apoorvsara
55,16670603,nnc,"2026-08-12 04:49:54",0.913,10,daimarusui3
56,16670414,TmT,"2026-08-11 09:45:19",0.913,4,tamotamo
57,16669009,Roman,"2026-08-12 04:57:29",0.913,10,"paulehrlich99,romanvuskov"
58,16669328,"Kita Renji","2026-08-11 05:23:44",0.913,8,champpattara
59,16672967,xnx,"2026-08-12 13:59:58",0.912,19,yuheikoike
60,16678727,Ak,"2026-08-11 19:20:21",0.912,4,abisheksrivastav
61,16684302,Kevin,"2026-08-11 14:44:49",0.912,2,kevinzodiac
62,16670829,"Subin An","2026-08-11 22:26:46",0.912,17,subinium
63,16676548,🦵YOKKOISHO🦵,"2026-08-12 12:22:00",0.912,20,"shin9915,syamoji141chan"
64,16670471,"dataset della mamma","2026-08-12 08:25:05",0.912,26,nicolascayuela9
65,16680206,naladalatejas,"2026-08-11 20:16:26",0.912,7,naladalatejas
66,16680443,"Scott Willis","2026-08-12 14:26:47",0.911,21,scottgwillis
67,16680464,"Sandeep Kumar #2","2026-08-12 07:26:29",0.911,9,sandeepkumar96808
68,16669964,bai2ertwo,"2026-08-12 10:47:44",0.911,20,bai2ertwo
69,16704620,eszn,"2026-08-11 04:00:57",0.910,5,esznxx
70,16679280,Xie-Eze,"2026-08-11 13:29:09",0.910,11,xieeze
71,16680216,JunHwanKwon,"2026-08-11 05:36:23",0.910,12,gr0442
72,16689785,"D-Rose's Left ACL","2026-08-11 03:40:24",0.910,8,"alantanfeng,ricecakar,willchub"
73,16691626,"Purandhar Ram Choppa","2026-08-12 00:42:37",0.910,9,purandharramchoppa
74,16670732,"Pilkwang Kim","2026-08-11 10:30:40",0.910,9,pilkwang
75,16691383,ispromashka,"2026-08-12 06:55:11",0.909,6,ispromashka
76,16672776,dodos72,"2026-08-11 09:51:12",0.909,13,"dodos72,dodos722"
77,16693901,"Charles Savas","2026-08-11 07:19:39",0.909,7,charlessavas
78,16703346,RicardoLópez,"2026-08-12 13:59:24",0.909,9,richi2489
79,16712141,cf696666,"2026-08-12 13:48:29",0.909,4,cf33333
80,16680835,"Changye Li","2026-08-12 00:09:54",0.909,13,antoinegg1
81,16672118,SeaGoat,"2026-08-10 22:36:23",0.909,5,vbandaru
82,16670888,tereka,"2026-08-12 13:46:55",0.908,3,tereka
83,16671925,"Uzumaki Julius","2026-08-12 08:31:45",0.908,10,uzumakijulius
84,16702494,"master oogway","2026-08-11 08:45:39",0.908,6,shoeinakayama
85,16669380,"Mattia Angeli","2026-08-12 11:03:22",0.907,15,mattiaangeli
86,16669172,"Tim Krige","2026-08-11 22:22:08",0.907,7,timkrige
87,16671933,"Komil Parmar","2026-08-12 12:39:04",0.907,5,komilparmar
88,16698224,"Feng Jiahui","2026-08-12 09:11:15",0.907,13,junipersky
89,16678103,HunterBlue,"2026-08-12 13:29:25",0.907,7,marianacodebase
90,16684429,"Youssef ARRASSEN SHOW","2026-08-11 08:44:06",0.907,3,youssefarrassenshow
91,16701321,Kayven,"2026-08-12 13:30:36",0.907,8,kayven
92,16684974,"Atharv Sharma","2026-08-12 09:56:09",0.906,2,atharvsharma
93,16687097,"Yash Bishnoi","2026-08-10 22:05:25",0.906,5,yashbishnoi98
94,16697840,"Daniel solo","2026-08-12 09:35:41",0.906,6,danielsolo1770
95,16685446,"John A M Beltran","2026-08-11 11:25:24",0.906,6,johnambeltran
96,16691234,DeeperNet,"2026-08-12 05:10:42",0.906,5,deepernet
97,16676770,vladee,"2026-08-12 09:11:03",0.906,8,vladee
98,16677098,"Nuclear Geek","2026-08-12 14:30:07",0.906,10,nucleargeek
99,16709582,"Latifa Riziki","2026-08-12 12:05:49",0.906,4,latifariziki
100,16671735,"lin xiang sun1145","2026-08-12 03:29:38",0.906,17,linxiangsun1145
101,16693127,"Dylan Hogarth","2026-08-11 00:06:45",0.906,7,dylanhogarth
102,16679396,"Ben Pepper","2026-08-12 12:51:01",0.906,15,bhpepper
103,16677043,prvsiyan,"2026-08-12 12:42:05",0.906,19,prvsiyan
104,16691392,"Random Hero","2026-08-12 12:50:32",0.906,7,raisefamous
105,16669175,"Tucker Arrants","2026-08-10 21:54:59",0.906,7,tuckerarrants
106,16686349,dmist,"2026-08-11 22:24:54",0.905,1,dmist036
107,16682243,"Резван Гатауллин","2026-08-09 11:44:21",0.905,5,rezvangataullin
108,16695475,kluless,"2026-08-10 03:48:16",0.905,3,kluless
109,16682080,"Jay Gautam","2026-08-12 06:22:57",0.905,3,jaygautam007
110,16675349,"Yet, WiaLive !","2026-08-11 04:08:08",0.904,9,yetwialive
111,16691416,TakamaruEX,"2026-08-11 09:47:47",0.904,4,takamaruex
112,16674460,"Ignasi Alemany","2026-08-11 18:57:07",0.904,7,ignasialemany
113,16681839,pritom2357,"2026-08-11 12:32:33",0.904,11,pritom2357
114,16691894,"Aditya #4","2026-08-10 16:38:57",0.903,3,adyprat
115,16683776,OzanM.,"2026-08-12 06:44:55",0.903,15,analyticaobscura
116,16680135,jarryJafery,"2026-08-12 10:01:12",0.903,12,sjarry
117,16671570,Arunodhayan,"2026-08-12 15:03:10",0.902,18,arunodhayan
118,16678059,"Sushanth Tiruvaipati","2026-08-12 16:40:46",0.902,33,sushanthtiruvaipati
119,16679020,Ibrahem-A163,"2026-08-11 08:48:14",0.902,12,ibrahema163
120,16690196,"Yusaku Muroya","2026-08-11 05:46:06",0.902,9,ymuroya47
121,16679304,"kevin zhou","2026-08-09 09:22:36",0.902,7,"kevinzhou66,kylahcodes"
122,16689838,t2better,"2026-08-11 10:25:55",0.902,10,t2better
123,16670630,YT,"2026-08-12 10:56:03",0.901,15,"takeharuyoshikawa,yosukeyama"
124,16671624,dutzc,"2026-08-12 06:31:05",0.901,19,"lntuzhaochen,simanli627,youleme"
125,16671192,"Kyle Wang","2026-08-12 00:41:20",0.901,28,ky1ewan9
126,16669082,"Manan Gupta","2026-08-07 05:29:38",0.901,15,obirdy
127,16690255,"Himmel Maskine","2026-08-11 19:26:48",0.901,9,morpickedfields
128,16670307,yasu,"2026-08-12 12:07:02",0.901,11,yasutakababa
129,16692715,"Catalin Butacu","2026-08-11 22:11:18",0.900,10,catalinbutacu
130,16670707,"Sho Okiyama M.D., Aillis CEO","2026-08-12 12:33:34",0.900,27,shookiyama
131,16678099,"Jack Cole","2026-08-11 20:59:02",0.900,21,jcole75
132,16693381,souju00,"2026-08-12 10:35:33",0.900,12,souju00
133,16681693,"Osamah Al-Qershi","2026-08-11 23:24:29",0.900,16,osamahalqershi
134,16670713,i3,"2026-08-11 18:30:06",0.900,14,ishijima
135,16689280,"SELEKTED GUYS","2026-08-11 21:16:46",0.900,5,"hseyinbayolu,yusufaliselek"
136,16668917,"Filip Strzałka","2026-08-12 00:08:32",0.900,19,snufkin77
137,16688222,"Ishan Sharma","2026-08-12 05:58:13",0.900,7,ishansharma13
138,16675482,"Harri Somakanthan","2026-08-12 11:56:15",0.900,31,harriwashere
139,16686351,"Henrique Viana","2026-08-10 12:15:52",0.900,5,h03v25
140,16680219,HiroyukiSasaki,"2026-08-11 09:00:58",0.900,10,hiroyukisasaki815
141,16670357,"OverfitOracle is all you need","2026-08-10 13:05:27",0.900,12,"alisalmanrana,kimura0415,shiru2"
142,16681233,Fususu,"2026-08-11 04:10:08",0.900,21,phuongncn
143,16675082,"Артём Свинобоев","2026-08-12 09:31:18",0.900,5,ssstelmah
144,16685529,Ehowtan,"2026-08-12 13:52:32",0.899,13,ehowtan
145,16683177,"Salem Ali","2026-08-11 18:57:42",0.899,22,salemali7
146,16692467,tomo11111,"2026-08-11 13:54:44",0.899,15,tomo11111
147,16691637,"Aqib Raza","2026-08-11 04:44:22",0.899,6,aqibrazadev
148,16672815,Himeno,"2026-08-12 12:39:53",0.899,7,lepidon
149,16678239,ASHUTOSH2914,"2026-08-12 05:47:52",0.899,11,ashutosh2914
150,16676047,RuleCraft,"2026-08-12 05:57:30",0.899,8,ljs2546
151,16694530,"Killer Coder","2026-08-11 08:10:32",0.899,13,killercoder
152,16670359,"ömer kiraz","2026-08-10 09:59:19",0.899,15,merkiraz
153,16683139,"Dhruv Arora","2026-08-11 04:52:03",0.899,6,dhruvarora07
154,16678722,"Seok, Jeongeum","2026-08-12 11:42:31",0.899,25,seokjeongeum
155,16677976,"André Luiz Pedroso","2026-08-12 10:10:33",0.899,16,andreluizpedroso
156,16674931,"Krazy KIller","2026-08-12 14:13:01",0.899,27,"dimaspashaakrilian,nxtirfan"
157,16670897,"Surya milenial","2026-08-12 12:59:52",0.899,34,suryamilenial
158,16674749,PavelLiashkov,"2026-08-11 10:24:08",0.899,14,bigbag1983
159,16672645,CuteClaw,"2026-08-12 14:30:59",0.899,25,bloodmoonwq
160,16670990,HumbleHumbert,"2026-08-11 08:46:28",0.899,10,humblehumbert
161,16670334,"Mohamed Amine Aichaoui","2026-08-11 02:09:07",0.899,8,mohamedamineaichaoui
162,16697990,"Yunus Gümüşsoy","2026-08-10 21:31:38",0.899,3,yunusgmsoy
163,16671383,zihan,"2026-08-11 12:21:57",0.899,3,"nale1111,yuepixing"
164,16696579,waticson,"2026-08-11 12:59:38",0.899,1,yutodennou
165,16670912,Ikeda0516,"2026-08-12 06:50:49",0.899,2,ikeda0516
166,16680715,kylinhanx,"2026-08-12 07:37:09",0.899,6,kylinhx
167,16684460,"Abnormal Man","2026-08-10 06:47:21",0.899,9,"aadigupta7686,koushikrudra,nabidnur"
168,16675709,Neko,"2026-08-12 10:46:13",0.899,13,ootake
169,16683880,Yvonne.,"2026-08-11 11:16:27",0.899,10,zdawer250
170,16684817,Adarsh,"2026-08-10 20:15:29",0.899,6,"akhilbh10,madarshbb"
171,16670461,"Terry Benjamin Jr","2026-08-12 03:35:51",0.899,20,terrybenjaminjr
172,16676582,yukiZ,"2026-08-10 05:10:34",0.899,6,hideyukizushi
173,16695295,"A Aswanth Raj","2026-08-11 07:59:17",0.899,2,aaswanthraj
174,16695646,"kwon yong deuk","2026-08-09 20:50:04",0.899,5,kwonyongdeuk
175,16694780,hotaq,"2026-08-09 12:40:48",0.899,2,chinnaphatkhun
176,16685211,panda__MB__maximus,"2026-08-09 13:28:46",0.899,1,tanishmohokar09
177,16669515,"Shubham Sahu","2026-08-09 14:04:23",0.899,3,shubhamsahu2003
178,16691211,Enma,"2026-08-09 14:40:48",0.899,4,tupakulasivashankar
179,16673007,"Mathurin Ache","2026-08-09 14:42:33",0.899,6,mathurinache
180,16696293,today,"2026-08-09 14:43:29",0.899,1,today55
181,16671317,StephenNedumpally,"2026-08-09 17:53:14",0.899,12,stephennedumpally
182,16669684,"Kumar Abhijeet","2026-08-09 20:29:23",0.899,4,krabhijeet
183,16675971,"Amil Gentili","2026-08-09 20:41:52",0.899,3,agentili
184,16680145,AM,"2026-08-11 01:37:16",0.899,6,adammekky
185,16681260,daoviet,"2026-08-11 09:57:29",0.899,17,daoviet
186,16677191,"Ieshan Meghani","2026-08-10 05:51:40",0.899,5,ieshanmeghani
187,16682873,生如夏花,"2026-08-10 15:03:52",0.899,17,"duoliya,linyeping,sereinovov,wangying2026"
188,16671228,"Jeki Wan Taufik","2026-08-10 02:47:27",0.899,8,jek1wantaufik
189,16678066,Hossein,"2026-08-12 13:37:54",0.899,5,tomi85
190,16698921,"Minh Thien","2026-08-10 06:25:39",0.899,1,wolfoo
191,16675592,"Bright O.H.","2026-08-12 05:41:36",0.899,5,brightoh
192,16671902,"Prateek Gupta","2026-08-10 07:46:31",0.899,9,iamprateek
193,16699397,"hamdi mohamed","2026-08-11 22:42:56",0.899,3,hamdimohamed22
194,16687361,"Sakhawat Hossen","2026-08-11 21:35:14",0.899,5,sakhawathossen
195,16698259,Outlier,"2026-08-10 09:13:30",0.899,1,"hyunseop1,jep0805"
196,16697242,"Dev Parikh","2026-08-10 11:55:05",0.899,1,molaritydev09
197,16673922,Lixin73,"2026-08-11 04:10:20",0.899,16,lixin73
198,16701170,"Rishi Arora","2026-08-10 12:36:07",0.899,1,rishiarora0
199,16669091,"Akhilesh godugu","2026-08-10 12:37:53",0.899,20,akhileshgodugu
200,16700756,NaomiFridman,"2026-08-10 12:40:41",0.899,1,ripcurl
201,16676000,"KAIWALYA RAUT","2026-08-10 12:49:42",0.899,5,kaiwalyaatulraut
202,16675588,patnaik18,"2026-08-12 03:55:49",0.899,6,patnaik18
203,16673118,Calaweh,"2026-08-10 13:47:11",0.899,3,likhuiwee
204,16690132,Vanshika,"2026-08-10 14:01:44",0.899,1,crystalbaby
205,16672513,"Jordi Corbilla","2026-08-11 15:31:40",0.899,8,jordicorbilla
206,16682972,yuki16,"2026-08-10 14:41:55",0.899,11,yuki16
207,16690364,AnyTeam,"2026-08-11 07:11:44",0.899,8,"beratkirbiyik,maksutopurolu"
208,16701949,"Braedyn  ","2026-08-10 15:38:06",0.899,1,braedyn123413
209,16669023,"Md. Hamid Hosen","2026-08-10 16:11:08",0.899,9,hosen42
210,16669002,"Baidalin Adilzhan [dsmlkz]","2026-08-10 16:46:29",0.899,3,baidalinadilzhan
211,16692260,"Aryavrat Mishra","2026-08-12 02:07:47",0.899,3,aryavratmisrha
212,16670531,"Santiago Maniches","2026-08-11 18:48:35",0.899,9,santmani
213,16676832,"Kunal Desale","2026-08-12 04:22:45",0.899,4,kunaldesale2408
214,16702159,"Igor Vorotnikov","2026-08-10 18:18:07",0.899,1,igorvorotnikov
215,16678187,"Zain Ali Nasir","2026-08-10 19:01:56",0.899,6,zainalinasir
216,16687295,"WeiJun Dou","2026-08-11 09:14:43",0.899,7,wayjunedou
217,16703217,"Mohammad Dehghanmanshadi","2026-08-10 20:33:41",0.899,1,mohammaddehghan
218,16676598,AnirudhBalmuri,"2026-08-10 20:54:27",0.899,1,anirudhbalmuri
219,16679627,"Tsingtao Bro","2026-08-10 21:42:12",0.899,3,qiweiyin
220,16681500,LEONELBC,"2026-08-10 22:26:13",0.899,5,"leonelbc,valentinaclaros"
221,16685646,suminshim,"2026-08-10 22:53:32",0.899,2,suminshim
222,16704430,"larp larp larp sahur","2026-08-11 18:54:45",0.899,2,matteofagerberg
223,16689769,Blacklions.,"2026-08-11 14:26:47",0.899,10,blacklions
224,16704469,"80+ Community","2026-08-11 00:56:01",0.899,1,"eastonsell,wshepelev"
225,16695149,walkrunfly,"2026-08-12 02:02:40",0.899,20,walkrunfly
226,16684127,"Pawan Rama Mali","2026-08-12 12:49:01",0.899,2,pawanmali
227,16682134,"junseok lee","2026-08-12 00:22:54",0.899,8,jaslee2
228,16674071,"Narendra Sirvi","2026-08-12 04:27:58",0.899,13,narendras78
229,16682242,Boiled-Sweet-Potato,"2026-08-11 04:58:51",0.899,6,boiledsweetpotato
230,16685433,"Hùng Nguyễn Huy (Hiirooo)","2026-08-11 04:57:29",0.899,7,hngnguynhuy
231,16689097,"Mahabub Alahi Atik","2026-08-11 05:35:18",0.899,1,mahabualahiatik
232,16682994,"Israr Ahmed","2026-08-11 05:58:42",0.899,1,israrahmed919
233,16706003,Jensen_01,"2026-08-11 06:29:42",0.899,1,jensen01
234,16682503,"Pavel Pavlov","2026-08-11 07:07:32",0.899,2,akakii
235,16669746,"Aman Atar","2026-08-11 07:46:19",0.899,9,amanatar
236,16682952,Jairam,"2026-08-11 07:49:59",0.899,1,jairamgaming
237,16671070,Tron,"2026-08-11 08:17:20",0.899,1,cjj3779
238,16706740,"SONAM EYDEN","2026-08-11 09:19:12",0.899,1,sonameyden
239,16690092,"talha ","2026-08-11 09:23:33",0.899,5,talha5787
240,16670952,"TAKASHI AZUMA","2026-08-11 09:45:32",0.899,1,takashiazuma
241,16676262,"Kazuki Harada","2026-08-11 10:26:47",0.899,1,kazukiharada85
242,16707086,Ace,"2026-08-11 10:35:06",0.899,1,shikhageekachad
243,16707232,Yusuraume,"2026-08-11 11:27:36",0.899,5,sugitatomohiko
244,16669367,Gengsr,"2026-08-11 11:20:56",0.899,16,gengsr
245,16705708,"Arturo Gutiérrez Aguilar","2026-08-11 12:01:24",0.899,2,jarturo
246,16690602,"Mina Gayid","2026-08-11 13:34:12",0.899,1,minagayid
247,16670538,"Kush Patel","2026-08-12 00:13:55",0.899,17,kushp3690
248,16707859,"Shree Dharshan","2026-08-11 13:56:24",0.899,1,shreedsanthagunam
249,16669507,"VAP RF5","2026-08-11 15:21:07",0.899,1,vaprf5
250,16669222,really?,"2026-08-11 16:41:35",0.899,14,udaken10
251,16671101,"Jiachen Li","2026-08-11 18:24:08",0.899,13,llccqq624
252,16706230,questiondlmarks,"2026-08-11 19:35:59",0.899,2,questiondlmarks
253,16670306,"Roland Luethy","2026-08-12 04:49:41",0.899,3,rluethy
254,16701586,"Thiago Farya","2026-08-11 22:43:13",0.899,1,thiagofarya
255,16676238,JungHwan,"2026-08-12 07:16:20",0.899,10,najunghwan
256,16677602,"laff trakk","2026-08-12 02:24:21",0.899,2,"ethanbwang888,lrodri22"
257,16693302,vht1230981255,"2026-08-12 03:26:07",0.899,1,vht1230981255
258,16699061,"ming + pogus","2026-08-12 03:32:54",0.899,1,"natthakitt,pogusthewhisper"
259,16682811,"Cam-Luan Truong","2026-08-12 04:04:24",0.899,4,luantruong
260,16709951,helloWorld,"2026-08-12 08:11:41",0.899,1,ngvnhoan
261,16669309,"петроградка national team 52","2026-08-12 08:38:52",0.899,11,"johnjanson,romantamrazov"
262,16672965,"Aleksandr  Larko","2026-08-12 10:02:12",0.899,2,alexxanderlarko
263,16669226,"Francesco Campigotto","2026-08-12 13:38:34",0.899,3,francescocampigotto
264,16712124,Saseki,"2026-08-12 15:36:23",0.899,2,saseki
265,16712857,"Rajan Nagarajan","2026-08-12 14:13:55",0.899,1,narajan
266,16672183,mahdi,"2026-08-12 14:31:53",0.899,2,mbonyani
267,16694432,"Utkarsh #2","2026-08-10 20:45:32",0.899,5,n0va007
268,16670673,mizukami,"2026-08-12 08:29:39",0.899,28,rumo11
269,16678140,Varshinir.dcv,"2026-08-10 05:14:02",0.899,2,varshinirdcv
270,16671701,"Hồng Bảo Đoàn","2026-08-11 03:38:06",0.899,8,hngboon
271,16680608,Steven,"2026-08-10 11:46:56",0.899,3,stevenpp
272,16676837,Dennis,"2026-08-12 03:44:50",0.899,8,dennisfong
273,16700679,cyberia,"2026-08-10 10:57:43",0.899,1,cyberia
274,16696397,"Ahmet Abdullah Gültekin","2026-08-11 13:09:13",0.899,5,abdullahgultekin
275,16701590,"Jamie Nojek","2026-08-12 02:06:39",0.899,15,jamienojek
276,16703126,"Teddy Tennant","2026-08-10 22:08:06",0.899,2,thtennant
277,16696100,moss,"2026-08-11 21:26:10",0.899,3,kenyashimizu
278,16696768,"maximo lorenzo y losada","2026-08-11 12:55:35",0.899,12,maximolorenzoylosada
279,16705587,"those how","2026-08-12 08:15:27",0.899,2,thosehow
280,16698251,yamanoue_sinbee,"2026-08-12 12:17:59",0.899,2,yamanouesinbee
281,16697793,"Arya Arun","2026-08-12 15:00:58",0.899,8,aryaarun07
282,16708975,DugnKon,"2026-08-12 14:43:59",0.899,2,damdung2005
283,16706785,navyashettynsagae,"2026-08-12 06:10:24",0.899,3,navyashettynsagae
284,16691369,"Hafida Belayd","2026-08-11 22:40:54",0.899,9,hafidabelayd
285,16684961,"Michael Cardoza","2026-08-10 12:37:49",0.899,11,michaelcardoza
286,16669710,FOYSAL,"2026-08-10 03:30:32",0.899,12,foysalemonshanto
287,16670402,kglctf,"2026-08-12 10:11:01",0.899,39,kglctf
288,16672675,"Pavlo Ivanin","2026-08-10 08:20:07",0.899,6,pavloivanin
289,16668886,"Octavi Grau","2026-08-10 10:21:22",0.899,4,octaviograu
290,16701224,Polarchit,"2026-08-10 13:03:22",0.899,1,polarchit
291,16669187,"Knee Knight","2026-08-11 07:16:32",0.899,5,oakaroo
292,16687713,kingslayer778,"2026-08-09 17:45:57",0.899,10,kingslayer778
293,16683993,"Utomo Abimail","2026-08-09 14:34:08",0.899,6,utomoabimail
294,16689982,"Mitudru Dutta","2026-08-09 14:41:08",0.899,1,mitudru
295,16682563,"Utkarsh Prakash Srivastava","2026-08-09 14:41:43",0.899,5,utkarshps
296,16693474,"Bocen Li","2026-08-09 16:22:45",0.899,2,bocenli
297,16671966,deepresearcher08,"2026-08-10 17:49:39",0.899,4,deepresearcher08
298,16697049,Jubaer,"2026-08-09 17:02:09",0.899,1,jubaer36
299,16696343,"Kelvin Stephan","2026-08-10 00:26:57",0.899,2,kelvinstephan
300,16670382,github/shepsci/kaggle-skill,"2026-08-10 13:01:30",0.899,7,shepscientific
301,16697091,DR_Mkelvo,"2026-08-10 20:55:16",0.899,6,drmkelvo
302,16669213,"Kunal Aarse","2026-08-09 17:46:51",0.899,2,kunalinfinite
303,16676785,"good question","2026-08-09 18:14:48",0.899,4,"cakiki,leakabjesz"
304,16697579,kkkk,"2026-08-09 18:31:17",0.899,1,gaopengren
305,16670373,"Emre Cirak","2026-08-09 18:38:52",0.899,10,biohack44
306,16682698,"Imaad Fazal","2026-08-09 19:06:40",0.899,8,imaadfazal
307,16697372,wmh0331,"2026-08-10 06:46:58",0.899,2,wmh0331
308,16669302,Lonnie,"2026-08-09 19:44:50",0.899,1,lonnieqin
309,16676800,ShiyiLIN0922,"2026-08-09 22:07:02",0.899,12,shiyilin0922
310,16697671,Ash0666,"2026-08-10 13:21:46",0.899,3,ash0666
311,16697988,Chloe,"2026-08-09 21:40:31",0.899,2,baytree1238
312,16675119,"Karim Fadi","2026-08-10 10:24:17",0.899,8,karimfadi
313,16670330,"Lamine Yamal","2026-08-11 04:09:46",0.899,8,ermanman
314,16687845,"Adrian Dubois","2026-08-09 23:19:44",0.899,1,adriandubois
315,16698110,"H. Emir Can","2026-08-10 21:40:23",0.899,5,aerospacer
316,16672442,Loren-wen,"2026-08-10 00:25:42",0.899,5,wofusituerte
317,16692154,ThomasG,"2026-08-12 15:22:45",0.899,7,thomasgamet
318,16671616,"Eric Han Wang","2026-08-11 06:22:21",0.899,15,ericwang03
319,16695892,"Mingkang YAN","2026-08-12 01:17:47",0.899,18,mingkangyan
320,16694641,"Sébastien MATHIEU","2026-08-10 08:19:22",0.899,2,negtitep
321,16680534,HongyuChen123321,"2026-08-10 02:13:56",0.899,2,hongyuchen123321
322,16698203,write_jade,"2026-08-10 10:05:32",0.899,2,writejade
323,16670756,"YERMES AMINE","2026-08-12 08:28:01",0.899,23,yermes
324,16692434,MiladJalali007,"2026-08-11 23:32:15",0.899,13,miladjalali007
325,16689683,"Jang Singh","2026-08-11 16:50:01",0.899,13,jangsingh
326,16677394,Akhyar,"2026-08-09 18:00:52",0.899,12,akhyar2612
327,16675212,"Denis Rukavishnikov","2026-08-09 15:00:06",0.898,16,denisrukavishnikov
328,16682077,韦名一心,"2026-08-11 05:41:16",0.898,1,fanch123
329,16706132,minhtu.mt.mt,"2026-08-12 08:34:41",0.898,7,minhtu123
330,16676303,"Ali Alghaithi","2026-08-12 07:59:16",0.898,28,alioman
331,16690989,"221B Baker's Cyst","2026-08-11 10:14:11",0.898,10,"alexrodrguezr,atoarr"
332,16669271,"Pathik Patel","2026-08-11 16:22:51",0.898,9,pathik1511
333,16682468,"Yash Gandhe","2026-08-09 12:11:07",0.898,7,yashgandhe
334,16678306,"Abdessamed Zetroni","2026-08-09 20:19:20",0.898,7,abdessamedzetroni
